self_employed,sought_treatment,employer_benefits,employer_takes_seriously,fear_negative_consequences,work_interference,remote_work,gender,age,country,year,productivity_affected,has_mental_health_disorder,tech_role
No,No,Don't Know,Yes,No,,Always,Female,27.0,United States of America,2016,,Uncertain,
No,No,Yes,Don't Know,Maybe,,Never,Female,27.0,United States of America,2016,,No,
No,Yes,Don't Know,Don't Know,Maybe,,Sometimes,Male,42.0,United States of America,2016,,Yes,
No,No,Yes,No,Maybe,,Never,Other,32.0,United States of America,2016,,No,1.0
No,Yes,Don't Know,Don't Know,No,,Sometimes,Male,26.0,Finland,2016,,Uncertain,
No,No,Don't Know,Don't Know,Yes,,Never,Male,28.0,Bulgaria,2016,,No,
No,No,Don't Know,Don't Know,Yes,,Sometimes,Male,28.0,United States of America,2016,,No,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,32.0,United States of America,2016,,No,
Yes,No,,,,,Always,Male,43.0,United States of America,2016,Yes,Yes,
No,Yes,Yes,No,Maybe,,Never,Male,34.0,United States of America,2016,,Yes,
No,Yes,Don't Know,Don't Know,Maybe,,Sometimes,Female,61.0,United States of America,2016,,Uncertain,
Yes,No,,,,,Always,Male,50.0,United States of America,2016,No,Yes,
Yes,Yes,,,,,Sometimes,Male,38.0,India,2016,Yes,Yes,
No,Yes,Not Eligible,No,Yes,,Sometimes,Male,51.0,Germany,2016,,Yes,0.0
Yes,Yes,,,,,Sometimes,Male,38.0,Ireland,2016,Yes,No,
No,Yes,Don't Know,Yes,No,,Always,Male,34.0,United States of America,2016,,Yes,
No,Yes,No,No,Maybe,,Always,Male,43.0,United States of America,2016,,Uncertain,
No,No,Yes,Don't Know,Yes,,Sometimes,Female,43.0,United States of America,2016,,Uncertain,
No,Yes,No,Don't Know,Maybe,,Always,Male,44.0,United States of America,2016,,Yes,
No,Yes,Don't Know,Don't Know,Maybe,,Sometimes,Male,35.0,United States of America,2016,,Uncertain,
No,No,Yes,Yes,No,,Always,Male,50.0,United States of America,2016,,No,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,29.0,United States of America,2016,,Uncertain,
No,Yes,Yes,Yes,No,,Never,Male,29.0,United States of America,2016,,Yes,
No,No,Yes,Yes,Maybe,,Sometimes,Male,36.0,Canada,2016,,No,1.0
Yes,No,,,,,Sometimes,Male,33.0,Australia,2016,Yes,Uncertain,
Yes,Yes,,,,,Sometimes,Male,50.0,Australia,2016,Yes,Uncertain,
No,Yes,Don't Know,No,Maybe,,Always,Male,46.0,United States of America,2016,,Uncertain,
Yes,Yes,,,,,Always,Female,44.0,New Zealand,2016,No,Yes,
No,Yes,Yes,No,Yes,,Sometimes,Other,23.0,United States of America,2016,,Uncertain,
No,Yes,Don't Know,No,Maybe,,Sometimes,Male,41.0,United States of America,2016,,Uncertain,
No,No,Yes,Don't Know,No,,Sometimes,Male,31.0,Canada,2016,,Uncertain,
No,Yes,No,No,Yes,,Sometimes,Male,55.0,United States of America,2016,,Yes,
No,No,No,No,Yes,,Sometimes,Male,34.0,United States of America,2016,,No,
No,Yes,Yes,Yes,No,,Always,Female,28.0,United States of America,2016,,Yes,
No,Yes,Yes,Don't Know,No,,Sometimes,Male,33.0,United States of America,2016,,Yes,
No,Yes,Yes,No,Yes,,Sometimes,Male,29.0,United States of America,2016,,No,
No,Yes,Yes,Yes,No,,Sometimes,Female,33.0,United States of America,2016,,Yes,1.0
Yes,No,,,,,Sometimes,Male,28.0,United States of America,2016,Not applicable to me,No,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,28.0,United States of America,2016,,Yes,
No,Yes,Yes,Yes,No,,Sometimes,Male,32.0,United States of America,2016,,No,
No,Yes,Yes,Don't Know,No,,Never,Female,36.0,United States of America,2016,,Uncertain,
No,No,Don't Know,Don't Know,Yes,,Sometimes,Male,45.0,United Kingdom,2016,,Uncertain,1.0
Yes,No,,,,,Always,Male,29.0,Lithuania,2016,Not applicable to me,No,
No,No,No,Don't Know,Maybe,,Never,Male,23.0,France,2016,,No,1.0
Yes,Yes,,,,,Always,Female,54.0,Canada,2016,Yes,Uncertain,
Yes,Yes,,,,,Sometimes,Female,61.0,United States of America,2016,Yes,Yes,
No,Yes,Don't Know,No,Yes,,Sometimes,Female,29.0,United States of America,2016,,Yes,
No,Yes,Not Eligible,Don't Know,Maybe,,Sometimes,Male,31.0,Australia,2016,,No,
Yes,No,,,,,Always,Male,37.0,United States of America,2016,Yes,No,
No,Yes,No,Don't Know,Yes,,Never,Male,29.0,Germany,2016,,Uncertain,
Yes,No,,,,,Always,Male,28.0,United Kingdom,2016,Yes,No,
No,Yes,Don't Know,Don't Know,No,,Sometimes,Male,30.0,United Kingdom,2016,,Yes,
No,Yes,Yes,Yes,No,,Always,Male,55.0,United Kingdom,2016,,No,
No,Yes,Don't Know,Don't Know,Maybe,,Never,Female,38.0,United States of America,2016,,Yes,1.0
No,No,Don't Know,Don't Know,Yes,,Sometimes,Male,20.0,Canada,2016,,No,
No,Yes,No,Don't Know,No,,Sometimes,Male,25.0,United States of America,2016,,No,
Yes,No,,,,,Always,Male,22.0,Spain,2016,Yes,Uncertain,
Yes,Yes,,,,,Sometimes,Male,35.0,United Kingdom,2016,Yes,Yes,
No,Yes,Don't Know,No,Maybe,,Never,Male,27.0,United States of America,2016,,Yes,1.0
No,Yes,No,Don't Know,Maybe,,Sometimes,Male,24.0,United States of America,2016,,Yes,1.0
Yes,Yes,,,,,Always,Male,39.0,Australia,2016,Yes,Yes,
No,No,Don't Know,Yes,No,,Never,Male,29.0,Brazil,2016,,Uncertain,1.0
No,Yes,No,Yes,Yes,,Never,Female,40.0,United States of America,2016,,Yes,
No,Yes,No,Don't Know,Maybe,,Always,Male,30.0,United States of America,2016,,Uncertain,
No,No,Yes,No,Maybe,,Sometimes,Male,32.0,Canada,2016,,No,
Yes,No,,,,,Sometimes,Male,34.0,Germany,2016,Yes,Uncertain,
No,Yes,Yes,Yes,No,,Sometimes,Female,35.0,Canada,2016,,Yes,
Yes,No,,,,,Sometimes,Male,30.0,United States of America,2016,Yes,Uncertain,
No,Yes,No,No,Maybe,,Never,Male,36.0,United Kingdom,2016,,No,
No,No,Don't Know,Yes,No,,Sometimes,Male,26.0,Sweden,2016,,No,
No,Yes,Don't Know,Don't Know,Maybe,,Never,Female,31.0,Netherlands,2016,,No,1.0
No,No,Not Eligible,Yes,No,,Never,Male,33.0,South Africa,2016,,No,1.0
Yes,Yes,,,,,Sometimes,Male,30.0,United Kingdom,2016,Yes,Yes,
No,Yes,Don't Know,No,Maybe,,Always,Male,46.0,United Kingdom,2016,,Yes,
No,Yes,No,Don't Know,Maybe,,Sometimes,Male,32.0,United States of America,2016,,No,
No,No,Yes,Don't Know,Maybe,,Sometimes,Male,34.0,United States of America,2016,,No,
No,Yes,Don't Know,Don't Know,No,,Always,Male,41.0,United States of America,2016,,Yes,
No,No,Don't Know,Yes,No,,Always,Male,32.0,United States of America,2016,,No,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,47.0,United States of America,2016,,No,1.0
No,No,Don't Know,Yes,No,,Always,Male,29.0,United States of America,2016,,No,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,36.0,United States of America,2016,,No,1.0
No,Yes,No,No,Yes,,Sometimes,Male,32.0,United States of America,2016,,Yes,
No,Yes,Don't Know,Don't Know,No,,Sometimes,Male,29.0,United States of America,2016,,Uncertain,
No,No,Not Eligible,Yes,No,,Never,Male,22.0,United Kingdom,2016,,No,
No,Yes,Yes,No,Yes,,Sometimes,Female,32.0,United States of America,2016,,Yes,
No,No,Yes,Don't Know,No,,Never,Female,19.0,United States of America,2016,,No,1.0
No,No,No,Yes,No,,Sometimes,Male,30.0,South Africa,2016,,No,
No,Yes,Don't Know,Yes,No,,Always,Other,32.0,United States of America,2016,,Uncertain,
No,No,Don't Know,Yes,No,,Sometimes,Male,22.0,United States of America,2016,,No,
Yes,No,,,,,Always,Male,30.0,Poland,2016,Yes,No,
No,No,Yes,Don't Know,No,,Sometimes,Male,,United States of America,2016,,No,
No,No,No,Don't Know,No,,Sometimes,Male,33.0,Slovakia,2016,,No,
No,Yes,No,No,Yes,,Never,Female,48.0,United Kingdom,2016,,No,
No,Yes,No,No,Maybe,,Never,Male,45.0,Germany,2016,,No,
No,Yes,Don't Know,Yes,No,,Sometimes,Male,28.0,United Kingdom,2016,,No,
No,Yes,Don't Know,Don't Know,No,,Sometimes,Male,44.0,United States of America,2016,,No,
No,No,No,No,Maybe,,Sometimes,Male,31.0,United States of America,2016,,No,
No,Yes,Yes,Yes,No,,Sometimes,Female,31.0,United States of America,2016,,Yes,
No,No,Yes,Yes,No,,Never,Male,29.0,United States of America,2016,,No,
No,No,Yes,No,Maybe,,Never,Male,26.0,United States of America,2016,,No,1.0
No,Yes,Yes,Yes,No,,Sometimes,Female,35.0,United States of America,2016,,Yes,1.0
Yes,Yes,,,,,Sometimes,Male,44.0,Austria,2016,Unsure,No,
No,Yes,Yes,No,Yes,,Always,Male,45.0,United States of America,2016,,Yes,
No,Yes,Yes,Yes,No,,Sometimes,Female,22.0,United States of America,2016,,Yes,1.0
No,No,Yes,Don't Know,No,,Sometimes,Male,34.0,United States of America,2016,,Uncertain,
No,No,Don't Know,Yes,Maybe,,Never,Male,35.0,United Kingdom,2016,,Uncertain,
Yes,Yes,,,,,Sometimes,Male,39.0,United States of America,2016,Yes,Yes,
No,Yes,Not Eligible,Don't Know,Yes,,Never,Male,26.0,Denmark,2016,,Uncertain,
Yes,No,,,,,Sometimes,Male,41.0,United States of America,2016,No,No,
No,Yes,Not Eligible,Don't Know,Yes,,Sometimes,Male,24.0,Australia,2016,,Yes,
No,Yes,Don't Know,Yes,No,,Never,Male,24.0,United States of America,2016,,Yes,
No,Yes,Yes,Don't Know,No,,Sometimes,Male,34.0,United States of America,2016,,Yes,
No,No,No,Yes,No,,Sometimes,Male,36.0,Australia,2016,,No,
No,Yes,Yes,Don't Know,Yes,,Sometimes,Male,41.0,Australia,2016,,Uncertain,1.0
No,Yes,Not Eligible,Don't Know,Maybe,,Never,Male,21.0,United States of America,2016,,Yes,
No,Yes,Don't Know,No,Maybe,,Sometimes,Male,33.0,Bangladesh,2016,,Yes,
No,Yes,Don't Know,Don't Know,No,,Always,Male,32.0,India,2016,,No,
No,Yes,Yes,Don't Know,No,,Never,Female,62.0,United States of America,2016,,Yes,1.0
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,37.0,United States of America,2016,,Yes,1.0
No,No,Don't Know,Don't Know,No,,Always,Male,32.0,United States of America,2016,,Uncertain,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,31.0,United States of America,2016,,No,
No,Yes,Don't Know,Don't Know,Maybe,,Sometimes,Male,28.0,United States of America,2016,,Uncertain,
Yes,Yes,,,,,Always,Female,48.0,United States of America,2016,Unsure,Yes,
Yes,Yes,,,,,Sometimes,Male,40.0,Algeria,2016,Yes,Yes,
No,Yes,Yes,Yes,No,,Never,Male,29.0,Norway,2016,,Yes,
No,Yes,Yes,Don't Know,Maybe,,Never,Male,33.0,Germany,2016,,No,1.0
No,No,Don't Know,Yes,No,,Sometimes,Male,27.0,Finland,2016,,No,1.0
No,No,Not Eligible,No,No,,Sometimes,Male,24.0,Australia,2016,,No,1.0
Yes,Yes,,,,,Sometimes,Male,28.0,Netherlands,2016,Yes,Yes,
No,Yes,Yes,Yes,No,,Always,Male,42.0,United States of America,2016,,Uncertain,
No,No,No,Don't Know,No,,Sometimes,Male,28.0,United Kingdom,2016,,No,
No,Yes,Don't Know,No,Maybe,,Always,Male,40.0,Canada,2016,,Yes,
No,Yes,Yes,Don't Know,Maybe,,Always,Female,32.0,United States of America,2016,,Uncertain,
Yes,Yes,,,,,Always,Male,33.0,United States of America,2016,No,Uncertain,
Yes,Yes,,,,,Always,Male,40.0,United States of America,2016,Yes,Uncertain,
No,Yes,Yes,No,Maybe,,Never,Male,26.0,United States of America,2016,,Yes,
No,Yes,Don't Know,Don't Know,Maybe,,Sometimes,Female,39.0,United States of America,2016,,Yes,
No,No,Not Eligible,Yes,No,,Never,Male,38.0,United Kingdom,2016,,Uncertain,1.0
No,No,Yes,Don't Know,Yes,,Sometimes,Male,34.0,United States of America,2016,,Yes,
No,Yes,Don't Know,Don't Know,Maybe,,Never,Male,44.0,Netherlands,2016,,Yes,1.0
Yes,No,,,,,Always,Male,54.0,United Kingdom,2016,Yes,Uncertain,
No,No,Yes,Yes,No,,Always,Male,24.0,Pakistan,2016,,No,
No,Yes,Yes,Yes,No,,Sometimes,Male,31.0,United States of America,2016,,Yes,
No,Yes,Yes,No,Yes,,Sometimes,Male,47.0,United States of America,2016,,Yes,
No,Yes,Not Eligible,Yes,No,,Sometimes,Male,30.0,Australia,2016,,Yes,
Yes,No,,,,,Always,Male,34.0,United States of America,2016,Not applicable to me,No,
No,Yes,Yes,Don't Know,No,,Sometimes,Other,29.0,United States of America,2016,,Yes,
No,No,Yes,No,Maybe,,Sometimes,Male,27.0,United States of America,2016,,No,
No,Yes,Yes,Don't Know,No,,Never,Male,29.0,United States of America,2016,,Yes,1.0
Yes,No,,,,,Sometimes,Female,43.0,United States of America,2016,Yes,Uncertain,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Other,31.0,United States of America,2016,,Yes,
No,No,Don't Know,No,Yes,,Never,Male,27.0,Norway,2016,,Uncertain,1.0
No,Yes,No,Don't Know,Maybe,,Never,Male,29.0,United Kingdom,2016,,Yes,
No,No,Not Eligible,Don't Know,No,,Never,Male,29.0,United Kingdom,2016,,No,
No,No,Yes,Don't Know,Maybe,,Sometimes,Male,42.0,United States of America,2016,,Yes,
No,No,Yes,Don't Know,Maybe,,Always,Female,26.0,United States of America,2016,,No,
No,Yes,Don't Know,Yes,No,,Sometimes,Male,26.0,Switzerland,2016,,No,
Yes,Yes,,,,,Sometimes,Male,34.0,United Kingdom,2016,Yes,Yes,
No,No,Yes,Yes,Maybe,,Sometimes,Male,24.0,United States of America,2016,,No,0.0
No,No,Yes,Yes,Yes,,Never,Male,25.0,United States of America,2016,,No,0.0
No,No,Yes,Yes,No,,Sometimes,Male,22.0,United States of America,2016,,No,
No,Yes,Yes,No,Maybe,,Sometimes,Male,33.0,United States of America,2016,,Yes,
No,No,Yes,Yes,No,,Always,Male,53.0,United States of America,2016,,No,
No,Yes,Yes,No,Maybe,,Never,Male,32.0,Canada,2016,,Yes,
No,Yes,No,Don't Know,Maybe,,Sometimes,Male,32.0,United States of America,2016,,No,
Yes,No,,,,,Sometimes,Male,55.0,United States of America,2016,Unsure,Uncertain,
No,Yes,Don't Know,Don't Know,Maybe,,Never,Male,27.0,France,2016,,No,
No,No,Not Eligible,Yes,Maybe,,Always,Male,34.0,United Kingdom,2016,,No,
No,Yes,No,Don't Know,Maybe,,Sometimes,Male,26.0,United States of America,2016,,Yes,
No,Yes,Don't Know,Don't Know,Maybe,,Never,,25.0,United States of America,2016,,Yes,
No,Yes,Yes,Yes,Maybe,,Sometimes,Male,39.0,United Kingdom,2016,,Uncertain,
No,Yes,Don't Know,Don't Know,No,,Never,Male,32.0,United States of America,2016,,Uncertain,
Yes,Yes,,,,,Sometimes,Male,46.0,United Kingdom,2016,Yes,Uncertain,
Yes,No,,,,,Sometimes,Female,52.0,United States of America,2016,Unsure,No,
No,Yes,Don't Know,No,Yes,,Never,Other,33.0,United Kingdom,2016,,Uncertain,
No,No,Yes,Don't Know,Maybe,,Sometimes,Male,58.0,United States of America,2016,,No,
No,Yes,No,No,Yes,,Never,Male,30.0,Canada,2016,,Yes,
Yes,No,,,,,Sometimes,Other,46.0,Sweden,2016,Not applicable to me,No,
No,No,Don't Know,Don't Know,Maybe,,Sometimes,Male,45.0,United States of America,2016,,Yes,1.0
No,Yes,No,Don't Know,Yes,,Sometimes,Female,26.0,Canada,2016,,No,
No,Yes,Yes,No,Yes,,Never,Male,22.0,United States of America,2016,,Yes,
No,No,Don't Know,Don't Know,Yes,,Sometimes,Male,21.0,United States of America,2016,,No,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,,Canada,2016,,Uncertain,
No,No,Don't Know,Yes,No,,Sometimes,Male,34.0,United States of America,2016,,No,1.0
No,No,Don't Know,Yes,No,,Sometimes,Female,25.0,United States of America,2016,,No,
No,Yes,Yes,Don't Know,No,,Sometimes,Male,27.0,United States of America,2016,,Yes,
No,Yes,Yes,No,Yes,,Never,Female,25.0,United States of America,2016,,Yes,
No,Yes,Yes,Don't Know,No,,Sometimes,Male,33.0,United Kingdom,2016,,Uncertain,
Yes,Yes,,,,,Always,Female,26.0,Canada,2016,No,Yes,
No,No,No,Don't Know,Maybe,,Always,Female,36.0,United States of America,2016,,No,
No,Yes,No,Don't Know,Yes,,Never,Male,26.0,United Kingdom,2016,,Uncertain,
No,No,Not Eligible,Don't Know,No,,Never,Male,34.0,United States of America,2016,,Uncertain,
No,Yes,Yes,No,Yes,,Sometimes,Male,34.0,United States of America,2016,,Yes,
No,Yes,Yes,No,Maybe,,Sometimes,Male,25.0,United States of America,2016,,Yes,1.0
Yes,Yes,,,,,Sometimes,Female,33.0,United States of America,2016,Yes,Uncertain,
No,No,No,Don't Know,Maybe,,Sometimes,Female,27.0,Canada,2016,,No,
No,Yes,Don't Know,Don't Know,Maybe,,Never,Female,24.0,Canada,2016,,No,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Female,47.0,United States of America,2016,,No,1.0
No,No,Yes,Yes,No,,Sometimes,Male,37.0,United States of America,2016,,No,
No,Yes,Don't Know,No,Yes,,Sometimes,Other,35.0,United States of America,2016,,Yes,1.0
No,Yes,Yes,Don't Know,Yes,,Always,Male,30.0,United States of America,2016,,Yes,1.0
No,No,Yes,Yes,Maybe,,Never,Male,42.0,United States of America,2016,,No,1.0
Yes,Yes,,,,,Sometimes,Female,36.0,United States of America,2016,Unsure,Yes,
No,No,Yes,Don't Know,No,,Always,Male,31.0,United States of America,2016,,Uncertain,
No,No,Yes,Don't Know,Maybe,,Always,Female,28.0,United States of America,2016,,Uncertain,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Female,36.0,United States of America,2016,,Yes,0.0
No,Yes,Yes,Don't Know,Yes,,Never,Female,36.0,United States of America,2016,,Yes,
No,Yes,Don't Know,Don't Know,No,,Sometimes,Male,32.0,Canada,2016,,Uncertain,1.0
Yes,No,,,,,Always,Male,42.0,United States of America,2016,Yes,No,
No,No,Yes,Don't Know,Maybe,,Never,Female,41.0,United States of America,2016,,Uncertain,
No,No,Yes,Yes,No,,Sometimes,Male,36.0,Sweden,2016,,No,1.0
No,Yes,Yes,Yes,Yes,,Sometimes,Male,23.0,United States of America,2016,,Yes,
No,Yes,Yes,Yes,No,,Never,Female,54.0,United States of America,2016,,Yes,0.0
No,No,Don't Know,Don't Know,Maybe,,Never,Female,34.0,United States of America,2016,,No,1.0
No,No,Don't Know,Don't Know,Yes,,Never,Male,36.0,Netherlands,2016,,No,
No,No,Yes,Don't Know,Maybe,,Never,Male,27.0,United States of America,2016,,No,
No,Yes,Yes,Don't Know,Maybe,,Always,Male,32.0,United States of America,2016,,Yes,
No,Yes,Yes,No,Yes,,Never,Male,21.0,Germany,2016,,Uncertain,
No,No,Don't Know,Yes,No,,Always,Male,44.0,United States of America,2016,,No,
No,No,Don't Know,Yes,No,,Always,Male,33.0,United States of America,2016,,Yes,
No,Yes,Yes,No,Maybe,,Sometimes,Male,38.0,United Kingdom,2016,,Yes,
No,No,Yes,No,Maybe,,Sometimes,Male,38.0,Ireland,2016,,No,
Yes,No,,,,,Always,Female,38.0,United States of America,2016,Unsure,No,
No,Yes,Don't Know,No,Maybe,,Always,Female,22.0,Brazil,2016,,No,
Yes,Yes,,,,,Sometimes,Other,33.0,United States of America,2016,Yes,Yes,
No,No,Don't Know,No,Maybe,,Never,Female,27.0,Canada,2016,,No,1.0
Yes,Yes,,,,,Sometimes,Female,55.0,United States of America,2016,Yes,Yes,
No,Yes,No,Don't Know,Maybe,,Sometimes,Male,66.0,United States of America,2016,,Yes,1.0
No,Yes,Don't Know,Yes,Maybe,,Sometimes,Male,25.0,United States of America,2016,,Uncertain,1.0
No,No,Not Eligible,Don't Know,Maybe,,Never,Male,22.0,Netherlands,2016,,No,
No,No,No,No,No,,Sometimes,Male,29.0,Brazil,2016,,No,
No,Yes,No,Don't Know,Yes,,Never,Male,33.0,New Zealand,2016,,No,
No,No,No,Don't Know,Maybe,,Never,Male,27.0,Sweden,2016,,No,
No,Yes,Don't Know,Don't Know,Yes,,Sometimes,Male,44.0,United States of America,2016,,Uncertain,
Yes,Yes,,,,,Sometimes,Male,38.0,Bulgaria,2016,Yes,Yes,
No,No,Don't Know,Don't Know,Maybe,,Always,Male,32.0,United States of America,2016,,No,1.0
No,No,Yes,No,Yes,,Never,Female,59.0,United States of America,2016,,No,1.0
Yes,No,,,,,Sometimes,Male,43.0,Sweden,2016,Not applicable to me,No,
Yes,Yes,,,,,Always,Female,55.0,Germany,2016,Yes,Yes,
No,Yes,Yes,Yes,No,,Always,Male,32.0,United States of America,2016,,No,
No,No,Not Eligible,No,Yes,,Never,Male,41.0,United Kingdom,2016,,Uncertain,1.0
No,Yes,No,Yes,No,,Always,Female,38.0,United States of America,2016,,Yes,
Yes,Yes,,,,,Sometimes,Male,46.0,United States of America,2016,Yes,Yes,
No,Yes,No,No,No,,Never,Male,43.0,United Kingdom,2016,,No,1.0
No,Yes,Yes,Yes,No,,Always,Female,29.0,United States of America,2016,,Yes,
Yes,No,,,,,Always,Male,42.0,United States of America,2016,Yes,No,
No,No,Don't Know,Don't Know,No,,Never,Female,25.0,United States of America,2016,,No,
No,No,Yes,Yes,No,,Never,Male,49.0,Afghanistan,2016,,Yes,
No,Yes,No,Don't Know,Yes,,Always,Male,36.0,Pakistan,2016,,Yes,
Yes,No,,,,,Always,Male,30.0,United Kingdom,2016,Yes,No,
No,No,Don't Know,No,Maybe,,Sometimes,Male,28.0,United States of America,2016,,No,
No,Yes,Don't Know,No,Maybe,,Sometimes,Male,37.0,United States of America,2016,,Yes,1.0
No,No,Not Eligible,Don't Know,Yes,,Sometimes,Female,23.0,United States of America,2016,,Yes,0.0
Yes,No,,,,,Sometimes,Male,37.0,United Kingdom,2016,Not applicable to me,No,
Yes,Yes,,,,,Always,Male,42.0,Netherlands,2016,Yes,Yes,
No,Yes,Yes,Yes,No,,Never,Male,32.0,United States of America,2016,,Yes,1.0
No,No,No,Don't Know,No,,Always,Male,28.0,Canada,2016,,Uncertain,
No,Yes,Don't Know,Don't Know,No,,Never,Male,28.0,United Kingdom,2016,,Yes,1.0
No,Yes,Yes,No,Maybe,,Never,Male,29.0,United States of America,2016,,Yes,
No,No,Don't Know,Yes,No,,Always,Male,35.0,United States of America,2016,,Uncertain,
Yes,Yes,,,,,Sometimes,Female,31.0,United States of America,2016,Yes,Yes,
Yes,Yes,,,,,Never,Female,46.0,United States of America,2016,Yes,Yes,
Yes,Yes,,,,,Sometimes,Male,19.0,United States of America,2016,Unsure,Uncertain,
No,No,Not Eligible,Yes,No,,Always,Male,35.0,Sweden,2016,,Uncertain,
No,No,Yes,Don't Know,No,,Sometimes,Male,31.0,United Kingdom,2016,,No,1.0
Yes,No,,,,,Sometimes,Male,31.0,United States of America,2016,Unsure,No,
No,No,Yes,Yes,No,,Always,Male,37.0,Canada,2016,,No,
No,Yes,Don't Know,Yes,No,,Sometimes,Female,34.0,United States of America,2016,,Yes,
No,Yes,Yes,Don't Know,No,,Sometimes,Female,39.0,United States of America,2016,,No,
Yes,Yes,,,,,Always,Female,29.0,United States of America,2016,Unsure,No,
No,Yes,Yes,Don't Know,Maybe,,Always,Female,29.0,United States of America,2016,,Yes,
No,Yes,Yes,No,No,,Sometimes,Male,63.0,United States of America,2016,,No,
Yes,Yes,,,,,Never,Male,45.0,Australia,2016,Yes,Yes,
Yes,No,,,,,Always,Male,35.0,Greece,2016,Yes,Uncertain,
Yes,Yes,,,,,Always,Male,32.0,United Kingdom,2016,Yes,Uncertain,
Yes,No,,,,,Always,Male,44.0,United States of America,2016,Unsure,No,
No,Yes,No,No,Yes,,Never,Other,28.0,United Kingdom,2016,,Yes,1.0
Yes,Yes,,,,,Sometimes,Male,39.0,Ireland,2016,Unsure,Uncertain,
Yes,Yes,,,,,Sometimes,Female,55.0,United States of America,2016,Yes,Uncertain,
Yes,Yes,,,,,Sometimes,Female,33.0,United States of America,2016,Yes,Yes,
No,No,No,Yes,No,,Always,Male,19.0,India,2016,,No,
No,No,Yes,No,Maybe,,Always,Male,40.0,United States of America,2016,,Uncertain,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Female,49.0,United States of America,2016,,No,1.0
No,No,Not Eligible,Yes,No,,Sometimes,Female,27.0,Australia,2016,,No,
No,Yes,Yes,No,Maybe,,Never,Male,39.0,United States of America,2016,,Yes,1.0
No,Yes,Don't Know,Yes,No,,Never,Male,35.0,United Kingdom,2016,,Yes,1.0
No,No,Don't Know,Don't Know,Maybe,,Sometimes,Male,35.0,United States of America,2016,,Uncertain,
No,Yes,Yes,No,Maybe,,Sometimes,Female,42.0,United States of America,2016,,Yes,
No,No,Yes,Yes,No,,Sometimes,Male,35.0,Canada,2016,,No,
No,Yes,Don't Know,Yes,No,,Sometimes,Female,31.0,United States of America,2016,,No,
Yes,Yes,,,,,Always,Male,44.0,United Kingdom,2016,Yes,Yes,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,39.0,United States of America,2016,,Uncertain,
Yes,No,,,,,Always,Male,32.0,Canada,2016,Unsure,No,
No,No,Don't Know,Yes,Maybe,,Sometimes,Male,45.0,New Zealand,2016,,No,
Yes,Yes,,,,,Sometimes,Male,31.0,United States of America,2016,Unsure,No,
Yes,Yes,,,,,Sometimes,Female,47.0,United States of America,2016,Yes,Yes,
No,Yes,No,No,Maybe,,Sometimes,Male,29.0,United States of America,2016,,No,
No,Yes,Yes,Yes,No,,Always,Male,20.0,United States of America,2016,,No,
No,No,Not Eligible,Don't Know,Yes,,Never,Male,34.0,United States of America,2016,,No,
No,Yes,Not Eligible,Yes,No,,Never,Other,33.0,United Kingdom,2016,,Yes,
Yes,Yes,,,,,Always,Female,56.0,United States of America,2016,Yes,Uncertain,
Yes,No,,,,,Sometimes,Male,35.0,Canada,2016,Unsure,Yes,
No,Yes,Yes,Don't Know,Yes,,Sometimes,Male,31.0,United States of America,2016,,Yes,
No,Yes,Yes,Don't Know,Maybe,,Sometimes,Male,36.0,United States of America,2016,,Yes,
No,No,Yes,Don't Know,Maybe,,Always,Male,30.0,United States of America,2016,,Yes,
No,Yes,Yes,No,Maybe,,Never,Female,44.0,United States of America,2016,,Uncertain,1.0
No,Yes,Don't Know,Yes,Maybe,,Sometimes,Female,23.0,United States of America,2016,,Yes,
No,No,Yes,No,Maybe,,Never,Male,46.0,United States of America,2016,,No,1.0
No,Yes,Yes,No,No,,Always,Female,33.0,United States of America,2016,,Yes,
No,Yes,Yes,No,Yes,,Never,Female,32.0,United States of America,2016,,Uncertain,0.0
Yes,Yes,,,,,Sometimes,Male,45.0,Australia,2016,Yes,Uncertain,
No,Yes,No,Yes,No,,Sometimes,Male,26.0,United States of America,2016,,Yes,
Yes,No,,,,,Always,Female,32.0,United States of America,2016,Unsure,No,
No,No,Don't Know,Don't Know,No,,Sometimes,Other,28.0,United States of America,2016,,No,
Yes,No,,,,,Sometimes,Male,44.0,United States of America,2016,Yes,No,
Yes,No,,,,,Always,Male,42.0,United Kingdom,2016,Yes,Uncertain,
No,No,Yes,Yes,Maybe,,Sometimes,Male,30.0,United States of America,2016,,No,
No,Yes,Don't Know,Yes,Yes,,Sometimes,Female,28.0,United States of America,2016,,Uncertain,
